#key	name	year	genre	developer	players
Booby Boys (Japan)	Booby Boys	1993	Action / Labyrinth/Action	Nichibutsu	1
Boomer's Adventure in ASMIK World (USA)	Boomer's Adventure in ASMIK World	1990	Puzzle	Graphic Research	1-2
Boulder Dash (Europe)	Boulder Dash	1990	Puzzle	Beam Software	1-2
Boxxle (USA)	Boxxle	1990	Puzzle/Strategy	Atelier Double	1
Boxxle II (USA, Europe)	Boxxle II	1990	Puzzle	Thinking Rabbit	1
Brain Bender (USA)	Brain Bender	1992	Puzzle	Electro Brain	1
Brain Drain (USA) (SGB Enhanced)	Brain Drain	1998	Puzzle	Visual Impact	1
Bram Stoker's Dracula (USA, Europe)	Bram Stoker's Dracula	1993	Platform	Psygnosis	1
BreakThru! (USA)	BreakThru!	1995	Puzzle	Zoo	1-2
Bubble Bobble (USA, Europe)	Bubble Bobble	1991	Platform	Taito	1
Bubble Bobble Part 2 (USA, Europe)	Bubble Bobble Part 2	1993	Platform	Taito	1
Bubble Ghost (USA, Europe)	Bubble Ghost	1990	Puzzle	Ere Informatique	1
Bubsy II (USA)	Bubsy II	1994	Platform	Accolade	1
Bugs Bunny Collection (Japan) (SGB Enhanced)	Bugs Bunny Collection	1997	Compilation	Kemco	1
Bugs Bunny Crazy Castle 2, The (USA)	The Bugs Bunny Crazy Castle 2	1991	Puzzle/Strategy	Kemco	1
Bugs Bunny Crazy Castle, The (USA, Europe)	The Bugs Bunny Crazy Castle	1990	Puzzle/Strategy	Kemco	1
Burai Fighter Deluxe (USA, Europe)	Burai Fighter Deluxe	1999	Shoot'em Up	Kindle Imagine Develop	1
BurgerTime Deluxe (World)	BurgerTime Deluxe	1992	Platform	Data East	1-2
Burning Paper (Japan) (En)	Burning Paper	1993	Puzzle	Pixel	1
Bust-A-Move 2 - Arcade Edition (USA, Europe)	Bust-A-Move 2 : Arcade Edition	1997	Puzzle / Throw/Puzzle	Acclaim Entertainment	1
Bust-A-Move 3 DX (Europe)	Bust-A-Move 3 DX	1998	Puzzle	Taito	1
Buster Bros. (USA)	Buster Bros.	1993	Shooter / TPV/Shooter	Ocean	1-2
Caesars Palace (USA)	Caesars Palace	1991	Casino	Magnin & Associates	1
Calculator (Unknown) (Proto)	Calculator				
Capcom Quiz - Hatena no Daibouken (Japan)	Capcom Quiz : Hatena no Daibouken	1990	Quiz	Capcom	1-2
Captain America and the Avengers (USA)	Captain America and the Avengers		Beat'em Up	Data East	1
Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan) (SGB Enhanced)	Captain Tsubasa J : Zenkoku Seiha e no Chousen	1995	Sports / Football (Soccer)/Sports	Bandai	1
Captain Tsubasa VS (Japan)	Captain Tsubasa VS	1992	Sports / Football (Soccer)/Sports	Graphic Research	1
Card Game (Japan) (En)	Card Game	1990	Playing cards	Marionette	1-2
Casino FunPak (USA, Europe)	Casino FunPak	1995	Casino	Beam Software	1
Casper (USA)	Casper	1996	Adventure	Funcom	1
Castelian (USA)	Castelian	1991	Platform	Bits Studios	1
Castle Quest (Europe)	Castle Quest	1993	Role Playing Game	Hudson Soft	1
Castlevania - The Adventure (USA)	Castlevania : The Adventure	1989	Platform	Konami	1
Castlevania II - Belmont's Revenge (USA, Europe)	Castlevania II : Belmont's Revenge	1992	Platform	Konami	1
Castlevania Legends (USA, Europe) (SGB Enhanced)	Castlevania Legends	1998	Platform	Konami	1
Catrap (USA)	Catrap	1990	Puzzle	ASK Kodansha	1
Cave Noire (Japan)	Cave Noire	1991	Role Playing Game	Konami	1
Centipede (USA, Europe) (Accolade)	Centipede	1992	Shooter / Space Invaders Like/Shooter	Code Monkeys	1-2
Chachamaru Boukenki 3 - Abyss no Tou (Japan)	Chachamaru Boukenki 3 : Abyss no Tou	1991	Role Playing Game	Human Entertainment	1
Chachamaru Panic (Japan)	Chachamaru Panic	1991	Action / Breakout games/Action	Human Entertainment	1-4
Chalvo 55 - Super Puzzle Action (Japan)	Chalvo 55 : Super Puzzle Action	1997	Platform	Japan System Supply	1
Championship Pool (USA)	Championship Pool	1993	Sports / Pool/Sports	Bitmasters	1
Chase H.Q. (USA, Europe)	Chase H.Q.	1990	Racing, Driving	Taito	1
Chessmaster, The (USA, Europe)	Chessmaster	1991	Board game/Puzzle	Park Place Productions	2
Chibi Maruko-chan - Maruko Deluxe Theater (Japan) (SGB Enhanced)	Chibi Maruko-chan : Maruko Deluxe Theater	1995	Adventure	Kindle Imagine Develop	1
Chibi Maruko-chan - Okozukai Daisakusen! (Japan)	Chibi Maruko-chan : Okozukai Daisakusen!	1990	Role Playing Game	Kindle Imagine Develop	1
Chibi Maruko-chan 2 - Deluxe Maruko World (Japan)	Chibi Maruko-chan 2 : Deluxe Maruko World	1991	Adventure	Kindle Imagine Develop	1
Chibi Maruko-chan 3 - Mezase! Game Taishou no Maki (Japan)	Chibi Maruko-chan 3 : Mezase! Game Taishou no Maki	1992	Adventure	Kindle Imagine Develop	1
